2022-10-31 14:31:44,858 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/faculty-and-staff-honored-at-annual-ics-awards-celebration, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:45,418 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ics-project-expo-strengthens-industry-engagement-and-showcases-student-talent, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:45,975 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-researchers-aim-to-diversify-clinical-research-participation-with-3-7m-nih-grant, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:46,526 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/qu-elected-international-statistical-institute-member, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:47,072 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/mds-program-hosts-panel-discussion-on-career-development-with-data-science-leaders, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:47,620 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/dont-think-you-can-learn-bayesian-statistics-think-again-with-bayes-rules, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:48,164 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/professors-berrocal-and-shahbaba-named-american-statistical-association-fellows, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:48,698 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/qu-named-2024-ims-medallion-lecturer, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:49,233 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/nsf-announces-2022-graduate-research-fellows, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:49,770 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/professors-utts-and-stern-honored-with-american-statistical-association-awards, status <200>, using cache ('styx.ics.uci.edu', 9010).
